location;total_cases_per_million;total_deaths_per_million;total_vaccinations_per_hundred;gdp_per_capita;population_density;hospital_beds_per_thousand;median_age;cluster
Saint Vincent and the Grenadines;0.19045073087372277;0.11534557749054349;0.24827872161721784;0.08657033244474537;0.035357447480650776;0.19305019305019305;0.5045317220543806;2
Sao Tome and Principe;0.05829174428919951;0.04069387536545;0.27853979804500284;0.02056747506501004;0.02664476386036961;0.2162162162162162;0.10876132930513599;0
Saudi Arabia;0.049780021316047605;0.041099363412237466;0.40415361451670523;0.41612071655350336;0.0016856736692465648;0.20077220077220076;0.5075528700906344;2
Serbia;0.4310324797264775;0.1992818070978802;0.358529315203919;0.11513836756443985;0.009895435160322225;0.4254826254826255;0.7885196374622354;2
Seychelles;0.37104484839181745;0.07601608985655788;0.53462150553713;0.22120998988943055;0.02607739693571316;0.2702702702702703;0.6374622356495467;2
Singapore;0.3396961704269701;0.01923252926890974;0.8086148598989806;0.7299471697801649;1.0;0.17760617760617758;0.8247734138972806;1
Slovakia;0.4977732422126229;0.4235442198372613;0.3419943982743219;0.2536579001595881;0.01404517453798768;0.4416988416988417;0.7885196374622354;2
Slovenia;0.7003725622276304;0.4297693413926933;0.42044848844264904;0.26437126809384287;0.012717106302321908;0.33976833976833976;0.88821752265861;1
Solomon Islands;0.03028980189828868;0.013646662225422459;0.17365840792557177;0.013284786086975673;0.0025095561522666247;0.10038610038610038;0.17220543806646532;0
South Africa;0.1632956393487469;0.2318317119266181;0.20086258436954885;0.10005335656115417;0.005657242141841732;0.1714285714285714;0.3685800604229607;0
South Korea;0.5555968704607377;0.03983906686262183;0.7894606405642377;0.3033956067356553;0.06646532933185911;0.9397683397683397;0.8549848942598184;1
Spain;0.3975108663106531;0.3015358283847209;0.5436358498696064;0.2890673403835549;0.011514136787237403;0.2216216216216216;0.9184290030211477;1
Sri Lanka;0.0537248375849915;0.06207582747658997;0.42820326637568346;0.09467125856465693;0.04296066972042332;0.2702702702702703;0.5740181268882174;2
Sudan;0.002165998070557811;0.011383684856818751;0.05459126165737711;0.032726647560132785;0.0026889906807771287;0.05405405405405406;0.13897280966767372;0
Suriname;0.17545792638947347;0.2025442069818136;0.25008136369973205;0.11271513341376382;0.00020597062075501497;0.23166023166023164;0.43806646525679754;2
Sweden;0.5911316887847615;0.2888447362334841;0.8290363372363247;0.398093268369742;0.0028734797030484913;0.1637065637065637;0.7824773413897279;1
Switzerland;0.8451048512106355;0.2238690030887763;0.6454547043063403;0.48806056640518175;0.026821671141999688;0.3420849420849421;0.8459214501510572;1
Tajikistan;0.004267758556425035;0.0016859451259255609;0.2778539713947561;0.019227540792312255;0.007872374032538303;0.36293436293436293;0.24773413897280966;0
Tanzania;0.0009044521194231046;0.0018658797250470077;0.1324197280539737;0.017390420381587144;0.007925446217027326;0.04633204633204633;0.07854984894259825;0
Thailand;0.10356282900807093;0.0412497862779161;0.5619845413954621;0.13430673796011436;0.016825146106460274;0.15444015444015444;0.755287009063444;2
Togo;0.009238956609406346;0.0040302986525102965;0.11002030079051499;0.006609969730213955;0.017866371821197286;0.04633204633204633;0.12990936555891236;0
